id,comment_num,like_num,repost_num
616,1,?,?
617,3,3,2
618,6,?,?
619,8,?,?
620,19,?,?
621,3,13,9
622,94,389,45
623,35,58,59
624,2,?,?
625,4,?,?
626,9,?,?
627,4,12,6
628,3,?,?
629,36,50,127
630,16,35,33
631,4,9,2
632,3,4,1
633,1,?,?
634,1,6,2
635,3,13,4
636,3,?,?
637,3,10,9
638,3,8,1
639,2,4,0
640,7,34,31
641,0,?,?
642,12,6,4
643,3,?,?
644,3,3,1
645,7,?,?
646,5,?,?
647,1,6,6
648,1,?,?
649,0,?,?
650,1,?,?
651,0,?,?
652,4,8,6
653,3,11,3
654,13,14,9
655,4,10,12
656,30,20,139
657,3,?,?
658,2,?,?
659,5,?,?
660,2,?,?
661,2,?,?
662,2,8,5
663,1,14,1
664,2,8,1
665,2,20,3
666,8,26,5
667,1,9,3
668,132,?,?
669,5,18,6
670,1,12,2
671,3,?,?
672,3,?,?
673,6,?,?
674,10,209,281
675,31,97,22
676,1,23,12
677,1,?,?
678,6,6,1
679,2,?,?
680,9,?,?
681,5,12,5
682,2,6,5
683,0,?,?
684,1,9,2
685,2,?,?
686,2,8,1
687,7,36,37
688,5,15,10
689,9,?,?
690,1,13,6
691,6,21,7
692,3,?,?
693,2,?,?
694,2,?,?
695,3,?,?
696,2,8,1
697,1,8,1
698,3,?,?
699,6,?,?
700,2,?,?
701,2,4,3
702,4,?,?
703,5,?,?
704,3,?,?
705,3,?,?
706,6,6,2
707,2,6,5
708,2,?,?
709,1,9,3
710,3,17,8
711,10,7,5
712,1,5,3
713,2,?,?
714,4,13,4
715,4,7,5
716,1,5,4
717,24,?,?
718,12,32,115
719,3,17,3
720,38,?,?
721,17,33,6
722,115,?,?
723,11,?,?
724,2,?,?
725,24,47,31
726,3,8,7
727,11,?,?
728,6,?,?
729,2,?,?
730,2,8,1
731,4,?,?
732,2,?,?
733,8,16,6
734,17,46,22
735,13,32,32
736,8,?,?
737,21,?,?
738,4,20,14
739,2,?,?
740,14,21,1
741,5,13,12
742,2,8,3
743,4,2,3
744,2,?,?
745,7,?,?
746,3,14,5
747,2,12,0
748,9,6,3
749,0,?,?
750,2,?,?
751,1,?,?
752,0,?,?
753,4,?,?
754,0,?,?
755,0,1,2
756,1,12,1
757,4,?,?
758,1,61,150
759,1008,?,?
760,2,?,?
761,4,?,?
762,9,33,18
763,58,116,26
764,2,7,2
765,12,?,?
766,7,19,24
767,2,?,?
768,2,6,1
769,4,12,3
770,2,?,?
771,2,?,?
772,506,?,?
773,8,23,8
774,9,29,26
775,6,18,7
776,7,?,?
777,2,9,1
778,5,5,2
779,2,?,?
780,3,?,?
781,6,?,?
782,3,?,?
783,2,?,?
784,4,11,5
785,13,39,19
786,6,?,?
787,8,25,24
788,5,22,18
789,5,15,8
790,8,?,?
791,7,?,?
792,6,?,?
793,4,?,?
794,4,?,?
795,2,22,10
796,3,18,4
797,3,15,12
798,4,?,?
799,1,13,6
800,0,?,?
801,11,26,124
802,7,?,?
803,12,?,?
804,4,9,1
805,2,4,14
806,1,7,7
807,6,28,21
808,11,17,10
809,2,11,6
810,22,55,27
811,7,6,2
812,10,7,2
813,2,?,?
814,3,?,?
815,8,21,13
816,2,14,6
817,3,41,156
818,12,29,10
819,7,35,12
820,3,17,7
821,3,?,?
822,3,?,?
823,6,?,?
824,1,8,6
825,2,13,6
826,4,12,4
827,8,20,5
828,0,7,3
829,2,?,?
830,1,?,?
831,2,4,57
832,1,?,?
833,1,12,3
834,25,18,5
835,3,?,?
836,4,7,2
837,4,10,6
838,3,8,2
839,2,?,?
840,14,?,?
841,3,?,?
842,6,?,?
843,1,7,6
844,4,?,?
845,3,?,?
846,3,?,?
847,1,6,2
848,1,?,?
849,1,4,1
850,1,5,2
851,0,6,2
852,8,10,23
853,5,12,6
854,2,449,96
855,7,11,5
856,0,10,3
857,1,14,2
858,2,7,4
859,6,?,?
860,2,?,?
861,6,22,6
862,5,?,?
863,12,6,2
864,16,24,8
865,46,?,?
866,3,7,2
867,2,8,1
868,26,57,20
869,12,?,?
870,11,21,11
871,3,13,3
872,391,?,?
873,11,10,9
874,10,?,?
875,22,?,?
876,2,7,1
877,8,15,4
878,0,8,0
879,1,14,5
880,10,50,37
881,3,?,?
882,1,?,?
883,3,13,5
884,19,33,10
885,4,9,4
886,1,7,1
887,5,12,2
888,0,7,0
889,2,?,?
890,16,32,56
891,2,?,?
892,16,?,?
893,2,16,4
894,1,18,4
895,11,?,?
896,5,?,?
897,9,18,5
898,3,11,3
899,0,39,18
900,1,?,?
901,2,14,5
902,3,10,3
903,6,?,?
904,3,?,?
905,2,11,2
906,4,11,4
907,6,11,3
908,5,18,10
909,8,?,?
910,6,?,?
911,8,17,10
912,0,?,?
913,0,?,?
914,6,16,4
915,1,?,?
916,1,10,6
917,15,34,33
918,0,?,?
919,13,23,22
920,3,9,1
921,1,?,?
922,3,?,?
923,1,9,0
924,1,?,?
925,1,7,1
926,0,?,?
927,3,10,7
928,0,3,1
929,0,4,1
930,0,7,0
931,15,18,59
932,1,?,?
933,0,?,?
934,4,18,8
935,6,12,2
936,11,30,23
937,20,9,5
938,4,?,?
939,2,11,1
940,0,2,5
941,12,?,?
942,2,14,6
943,14,28,5
944,5,4,6
945,10,?,?
946,1,3,4
947,7,25,12
948,4,10,1
949,14,26,6
950,3,?,?
951,1,?,?
952,1,?,?
953,1,10,3
954,1,6,1
955,14,8,5
956,4,?,?
957,0,6,3
958,0,2,2
959,1,3,1
960,0,?,?
961,10,?,?
962,4,?,?
963,2,8,3
964,4,?,?
965,3,?,?
966,6,20,10
967,5,?,?
968,4,?,?
969,3,?,?
970,2,?,?
971,2,5,5
972,2,2,2
973,16,?,?
974,3,5,5
975,1,12,4
976,2,6,1
977,45,?,?
978,0,9,3
979,1,?,?
980,23,56,6
981,4,82,91
982,3,?,?
983,7,?,?
984,11,?,?
985,121,466,177
986,5,17,93
987,4,?,?
988,10,55,14
989,2,?,?
990,2,17,6
991,4,16,8
992,6,31,22
993,4,9,4
994,11,?,?
995,2,?,?
996,2,?,?
997,0,13,6
998,6,13,2
999,1,5,2
1000,3,?,?
1001,10,37,5
1002,1,?,?
1003,5,?,?
1004,9,?,?
1005,18,26,9
1006,7,16,7
1007,23,87,90
1008,144,626,712
1009,19,156,450
1010,88,408,241
1011,8,56,18
1012,3,36,177
1013,12,?,?
1014,18,134,399
1015,18,38,5
1016,2,19,10
1017,3,?,?
1018,10,57,9
1019,1720,?,?
1020,4,38,10
1021,19,72,9
1022,10,30,5
1023,6,26,9
1024,24,34,31
1025,29,101,36
1026,4,23,0
1027,15,57,108
1028,470,2706,3168
1029,9,46,7
1030,0,?,?
1031,2,24,13
1032,9,?,?
1033,5,20,7
1034,3,14,5
1035,5,?,?
1036,0,27,5
1037,9,8,2
1038,24,77,31
1039,4,22,5
1040,2,21,5
1041,7,45,17
1042,1,21,11
1043,14,?,?
1044,2,18,5
1045,4,19,7
1046,2,19,5
1047,12,?,?
1048,6,32,12
1049,4,29,5
1050,4,18,1
1051,5,9,9
1052,6,18,7
1053,11,14,30
1054,24,?,?
1055,7,7,1
1056,4,16,2
1057,13,25,172
1058,6,?,?
1059,14,?,?
1060,7,37,261
1061,4,56,275
1062,20,40,12
1063,2,16,3
1064,3,58,345
1065,7,26,2
1066,50,?,?
1067,10,22,10
1068,22,10,5
1069,6,?,?
1070,0,12,2
1071,1,24,156
1072,3,34,19
1073,6,11,4
1074,3,12,8
1075,9,35,47
1076,5,23,2
1077,6,23,12
1078,3,8,2
